clock_period,method,lev_before,node_before,lat_before,lev_after,node_after,lat_after,vpr_delay,latency
22,abc,19,3909,128,19,3798,0,15.719,0
22,leap,19,3909,128,19,3798,0,15.523,0
22,leap,19,3909,128,19,3798,0,17.1,0
22,leap,19,3909,128,19,3798,0,16.234,0
21,abc,19,3909,128,10,3850,411,8.641,1
21,leap,19,3909,128,19,3798,0,16.027,0
21,leap,19,3909,128,19,3798,0,15.892,0
21,leap,19,3909,128,19,3798,0,15.88,0
20,abc,19,3909,128,10,3850,411,8.641,1
20,leap,19,3909,128,19,3798,0,16.149,0
20,leap,19,3909,128,19,3798,0,16.27,0
20,leap,19,3909,128,19,3798,0,15.707,0
19,abc,19,3909,128,10,3850,411,8.641,1
19,leap,19,3909,128,19,3798,0,15.629,0
19,leap,19,3909,128,19,3798,0,15.787,0
19,leap,19,3909,128,19,3798,0,17.132,0
18,abc,19,3909,128,10,3850,411,8.641,1
18,leap,19,3909,128,19,3798,0,15.646,0
18,leap,19,3909,128,19,3798,0,15.556,0
18,leap,19,3909,128,19,3798,0,15.999,0
17,abc,19,3909,128,10,3850,411,8.641,1
17,leap,19,3909,128,19,3798,0,16.67,0
17,leap,19,3909,128,19,3798,0,15.948,0
17,leap,19,3909,128,19,3798,0,16.419,0
16,abc,19,3909,128,10,3850,411,8.641,1
16,leap,19,3909,128,19,3798,0,15.716,0
16,leap,19,3909,128,19,3798,0,15.765,0
16,leap,19,3909,128,19,3798,0,15.801,0
15,abc,19,3909,128,10,3850,411,8.641,1
15,leap,19,3909,128,17,3805,103,13.67,1
15,leap,19,3909,128,17,3805,103,14.392,1
15,leap,19,3909,128,17,3805,103,14.766,1
14,abc,19,3909,128,10,3850,411,8.641,1
14,leap,19,3909,128,17,3805,112,13.484,1
14,leap,19,3909,128,17,3805,112,13.507,1
14,leap,19,3909,128,17,3805,112,13.314,1
13,abc,19,3909,128,10,3850,411,8.641,1
13,leap,19,3909,128,16,3805,149,12.678,1
13,leap,19,3909,128,16,3805,149,13.03,1
13,leap,19,3909,128,16,3805,149,12.469,1
12,abc,19,3909,128,10,3850,411,8.641,1
12,leap,19,3909,128,14,3805,155,12.741,1
12,leap,19,3909,128,14,3805,155,10.923,1
12,leap,19,3909,128,14,3805,155,11.575,1
11,abc,19,3909,128,10,3850,411,8.641,1
11,leap,19,3909,128,13,3806,211,10.887,1
11,leap,19,3909,128,13,3806,211,11.115,1
11,leap,19,3909,128,13,3806,211,10.418,1
10,abc,19,3909,128,7,3894,562,6.141,2
10,leap,19,3909,128,11,3812,362,9.154,1
10,leap,19,3909,128,11,3812,362,10.831,1
10,leap,19,3909,128,11,3812,362,10.4,1
9,abc,19,3909,128,7,3894,562,6.141,2
9,leap,19,3909,128,10,3817,465,8.685,1
9,leap,19,3909,128,10,3817,465,9.251,1
9,leap,19,3909,128,10,3817,465,8.428,1
8,abc,19,3909,128,7,3894,562,6.141,2
8,leap,19,3909,128,11,3847,565,9.49,1
8,leap,19,3909,128,11,3847,565,9.836,1
8,leap,19,3909,128,11,3847,565,8.987,1
7,abc,19,3909,128,6,3941,735,5.853,3
7,leap,19,3909,128,10,3883,603,8.324,2
7,leap,19,3909,128,10,3883,603,8.112,2
7,leap,19,3909,128,10,3883,603,8.127,2
6,abc,19,3909,128,6,3941,735,5.853,3
6,leap,19,3909,128,9,3888,656,7.107,2
6,leap,19,3909,128,9,3888,656,6.802,2
6,leap,19,3909,128,9,3888,656,7.081,2
5,abc,19,3909,128,5,3995,1015,5.603,4
5,leap,19,3909,128,7,3942,983,5.565,3
5,leap,19,3909,128,7,3942,983,5.862,3
5,leap,19,3909,128,7,3942,983,6.608,3
4,abc,19,3909,128,4,4104,1323,4.642,5
4,leap,19,3909,128,6,3974,1270,5.257,3
4,leap,19,3909,128,6,3974,1270,6.751,3
4,leap,19,3909,128,6,3974,1270,4.839,3
3,abc,19,3909,128,4,4170,1417,3.979,7
3,leap,19,3909,128,5,4121,1798,4.224,5
3,leap,19,3909,128,5,4121,1798,4.701,5
3,leap,19,3909,128,5,4121,1798,4.214,5
