clock_period,method,lev_before,node_before,lat_before,lev_after,node_after,lat_after,vpr_delay,latency
3,abc,19,4187,160,4,4352,1447,5.816,5
3,abc,19,4187,160,4,4352,1447,5.816,5
3,abc,19,4187,160,4,4352,1447,5.816,5
3,abc,19,4187,160,4,4352,1447,5.816,5
3,abc,19,4187,160,4,4352,1447,5.816,5
3,abc,19,4187,160,4,4352,1447,5.816,5
3,abc,19,4187,160,4,4352,1447,5.816,5
3,abc,19,4187,160,4,4352,1447,5.816,5
3,abc,19,4187,160,4,4352,1447,5.816,5
3,abc,19,4187,160,4,4352,1447,5.816,5
3,leap,19,4187,160,5,4608,2252,5.668,5
3,leap,19,4187,160,5,4608,2252,4.295,5
3,leap,19,4187,160,5,4608,2252,5.24,5
3,leap,19,4187,160,5,4608,2252,4.651,5
3,leap,19,4187,160,5,4608,2252,4.516,5
3,leap,19,4187,160,5,4608,2252,4.328,5
3,leap,19,4187,160,5,4608,2252,4.772,5
3,leap,19,4187,160,5,4608,2252,4.103,5
3,leap,19,4187,160,5,4608,2252,4.274,5
3,leap,19,4187,160,5,4608,2252,4.316,5
4,abc,19,4157,128,5,4249,1132,4.36,4
4,abc,19,4157,128,5,4249,1132,4.36,4
4,abc,19,4157,128,5,4249,1132,4.36,4
4,abc,19,4157,128,5,4249,1132,4.36,4
4,abc,19,4157,128,5,4249,1132,4.36,4
4,abc,19,4157,128,5,4249,1132,4.36,4
4,abc,19,4157,128,5,4249,1132,4.36,4
4,abc,19,4157,128,5,4249,1132,4.36,4
4,abc,19,4157,128,5,4249,1132,4.36,4
4,abc,19,4157,128,5,4249,1132,4.36,4
4,leap,19,4157,128,6,4399,1566,5.349,3
4,leap,19,4157,128,6,4399,1566,5.274,3
4,leap,19,4157,128,6,4399,1566,5.783,3
4,leap,19,4157,128,6,4399,1566,4.848,3
4,leap,19,4157,128,6,4399,1566,5.437,3
4,leap,19,4157,128,6,4399,1566,4.684,3
4,leap,19,4157,128,6,4399,1566,6.068,3
4,leap,19,4157,128,6,4399,1566,5.481,3
4,leap,19,4157,128,6,4399,1566,5.186,3
4,leap,19,4157,128,6,4399,1566,4.788,3
5,abc,19,4125,96,6,4183,821,5.85,3
5,abc,19,4125,96,6,4183,821,5.85,3
5,abc,19,4125,96,6,4183,821,5.85,3
5,abc,19,4125,96,6,4183,821,5.85,3
5,abc,19,4125,96,6,4183,821,5.85,3
5,abc,19,4125,96,6,4183,821,5.85,3
5,abc,19,4125,96,6,4183,821,5.85,3
5,abc,19,4125,96,6,4183,821,5.85,3
5,abc,19,4125,96,6,4183,821,5.85,3
5,abc,19,4125,96,6,4183,821,5.85,3
5,leap,19,4125,96,7,4325,1192,5.895,3
5,leap,19,4125,96,7,4325,1192,6.299,3
5,leap,19,4125,96,7,4325,1192,6.362,3
5,leap,19,4125,96,7,4325,1192,5.58,3
5,leap,19,4125,96,7,4325,1192,6.884,3
5,leap,19,4125,96,7,4325,1192,5.769,3
5,leap,19,4125,96,7,4325,1192,6.54,3
5,leap,19,4125,96,7,4325,1192,6.08,3
5,leap,19,4125,96,7,4325,1192,5.58,3
5,leap,19,4125,96,7,4325,1192,6.124,3
6,abc,19,4089,64,7,4139,620,6.422,2
6,abc,19,4089,64,7,4139,620,6.422,2
6,abc,19,4089,64,7,4139,620,6.422,2
6,abc,19,4089,64,7,4139,620,6.422,2
6,abc,19,4089,64,7,4139,620,6.422,2
6,abc,19,4089,64,7,4139,620,6.422,2
6,abc,19,4089,64,7,4139,620,6.422,2
6,abc,19,4089,64,7,4139,620,6.422,2
6,abc,19,4089,64,7,4139,620,6.422,2
6,abc,19,4089,64,7,4139,620,6.422,2
6,leap,19,4089,64,9,4222,837,7.068,2
6,leap,19,4089,64,9,4222,837,7.633,2
6,leap,19,4089,64,9,4222,837,7.063,2
6,leap,19,4089,64,9,4222,837,7.564,2
6,leap,19,4089,64,9,4222,837,7.493,2
6,leap,19,4089,64,9,4222,837,8.068,2
6,leap,19,4089,64,9,4222,837,7.109,2
6,leap,19,4089,64,9,4222,837,7.567,2
6,leap,19,4089,64,9,4222,837,7.04,2
6,leap,19,4089,64,9,4222,837,6.994,2
7,abc,19,4089,64,7,4139,620,6.422,2
7,abc,19,4089,64,7,4139,620,6.422,2
7,abc,19,4089,64,7,4139,620,6.422,2
7,abc,19,4089,64,7,4139,620,6.422,2
7,abc,19,4089,64,7,4139,620,6.422,2
7,abc,19,4089,64,7,4139,620,6.422,2
7,abc,19,4089,64,7,4139,620,6.422,2
7,abc,19,4089,64,7,4139,620,6.422,2
7,abc,19,4089,64,7,4139,620,6.422,2
7,abc,19,4089,64,7,4139,620,6.422,2
7,leap,19,4089,64,10,4217,742,7.587,2
7,leap,19,4089,64,10,4217,742,7.9,2
7,leap,19,4089,64,10,4217,742,8.147,2
7,leap,19,4089,64,10,4217,742,7.906,2
7,leap,19,4089,64,10,4217,742,8.05,2
7,leap,19,4089,64,10,4217,742,8.02,2
7,leap,19,4089,64,10,4217,742,8.065,2
7,leap,19,4089,64,10,4217,742,7.341,2
7,leap,19,4089,64,10,4217,742,7.734,2
7,leap,19,4089,64,10,4217,742,8.311,2
8,abc,19,4089,64,7,4139,620,6.422,2
8,abc,19,4089,64,7,4139,620,6.422,2
8,abc,19,4089,64,7,4139,620,6.422,2
8,abc,19,4089,64,7,4139,620,6.422,2
8,abc,19,4089,64,7,4139,620,6.422,2
8,abc,19,4089,64,7,4139,620,6.422,2
8,abc,19,4089,64,7,4139,620,6.422,2
8,abc,19,4089,64,7,4139,620,6.422,2
8,abc,19,4089,64,7,4139,620,6.422,2
8,abc,19,4089,64,7,4139,620,6.422,2
8,leap,19,4089,64,11,4169,693,8.396,1
8,leap,19,4089,64,11,4169,693,8.561,1
8,leap,19,4089,64,11,4169,693,9.234,1
8,leap,19,4089,64,11,4169,693,8.115,1
8,leap,19,4089,64,11,4169,693,8.127,1
8,leap,19,4089,64,11,4169,693,8.144,1
8,leap,19,4089,64,11,4169,693,8.357,1
8,leap,19,4089,64,11,4169,693,8.209,1
8,leap,19,4089,64,11,4169,693,8.243,1
8,leap,19,4089,64,11,4169,693,8.881,1
9,abc,19,4051,32,10,4067,451,8.487,1
9,abc,19,4051,32,10,4067,451,8.487,1
9,abc,19,4051,32,10,4067,451,8.487,1
9,abc,19,4051,32,10,4067,451,8.487,1
9,abc,19,4051,32,10,4067,451,8.487,1
9,abc,19,4051,32,10,4067,451,8.487,1
9,abc,19,4051,32,10,4067,451,8.487,1
9,abc,19,4051,32,10,4067,451,8.487,1
9,abc,19,4051,32,10,4067,451,8.487,1
9,abc,19,4051,32,10,4067,451,8.487,1
9,leap,19,4051,32,10,4101,536,9.415,1
9,leap,19,4051,32,10,4101,536,8.406,1
