clock_period,method,lev_before,node_before,lat_before,lev_after,node_after,lat_after,vpr_delay,latency
3,abc,22,3741,160,5,3956,1375,4.66,5
3,abc,22,3741,160,5,3956,1375,4.66,5
3,abc,22,3741,160,5,3956,1375,4.66,5
3,leap,22,3741,160,5,4390,2133,3.69,5
3,leap,22,3741,160,5,4390,2133,4.458,5
3,leap,22,3741,160,5,4390,2133,3.897,5
4,abc,22,3709,128,6,3866,1100,5.209,4
4,abc,22,3709,128,6,3866,1100,5.209,4
4,abc,22,3709,128,6,3866,1100,5.209,4
4,leap,22,3709,128,6,4037,1463,5.006,3
4,leap,22,3709,128,6,4037,1463,4.805,3
4,leap,22,3709,128,6,4037,1463,4.808,3
5,abc,22,3685,96,7,3804,836,7.041,3
5,abc,22,3685,96,7,3804,836,7.041,3
5,abc,22,3685,96,7,3804,836,7.041,3
5,leap,22,3685,96,7,3980,1153,6.199,3
5,leap,22,3685,96,7,3980,1153,6.022,3
5,leap,22,3685,96,7,3980,1153,5.581,3
6,abc,22,3657,64,8,3751,711,6.519,2
6,abc,22,3657,64,8,3751,711,6.519,2
6,abc,22,3657,64,8,3751,711,6.519,2
6,leap,22,3657,64,9,3842,927,6.913,2
6,leap,22,3657,64,9,3842,927,7.49,2
6,leap,22,3657,64,9,3842,927,7.731,2
7,abc,22,3657,64,8,3751,711,6.519,2
7,abc,22,3657,64,8,3751,711,6.519,2
7,abc,22,3657,64,8,3751,711,6.519,2
7,leap,22,3657,64,11,3817,774,8.542,2
7,leap,22,3657,64,11,3817,774,8.721,2
7,leap,22,3657,64,11,3817,774,8.337,2
8,abc,22,3657,64,8,3751,711,6.519,2
8,abc,22,3657,64,8,3751,711,6.519,2
8,abc,22,3657,64,8,3751,711,6.519,2
8,leap,22,3657,64,11,3727,559,9.153,1
8,leap,22,3657,64,11,3727,559,9.098,1
8,leap,22,3657,64,11,3727,559,9.253,1
9,abc,22,3623,32,12,3657,391,9.793,1
9,abc,22,3623,32,12,3657,391,9.793,1
9,abc,22,3623,32,12,3657,391,9.793,1
9,leap,22,3623,32,12,3689,478,9.629,1
9,leap,22,3623,32,12,3689,478,9.619,1
9,leap,22,3623,32,12,3689,478,9.497,1
