clock_period,method,lev_before,node_before,lat_before,lev_after,node_after,lat_after,vpr_delay,latency
3,abc,10,1058,64,4,1058,189,5.6,2
3,abc,10,1058,64,4,1058,189,5.6,2
3,abc,10,1058,64,4,1058,189,5.6,2
3,abc,10,1058,64,4,1058,189,5.6,2
3,abc,10,1058,64,4,1058,189,5.6,2
3,abc,10,1058,64,4,1058,189,5.6,2
3,abc,10,1058,64,4,1058,189,5.6,2
3,abc,10,1058,64,4,1058,189,5.6,2
3,abc,10,1058,64,4,1058,189,5.6,2
3,abc,10,1058,64,4,1058,189,5.6,2
3,leap,10,1058,64,5,1140,589,4.028,2
3,leap,10,1058,64,5,1140,589,4.236,2
3,leap,10,1058,64,5,1140,589,4.691,2
3,leap,10,1058,64,5,1140,589,3.94,2
3,leap,10,1058,64,5,1140,589,4.795,2
3,leap,10,1058,64,5,1140,589,3.94,2
3,leap,10,1058,64,5,1140,589,4.528,2
3,leap,10,1058,64,5,1140,589,4.23,2
3,leap,10,1058,64,5,1140,589,3.953,2
3,leap,10,1058,64,5,1140,589,4.288,2
4,abc,10,1058,64,4,1058,189,5.6,2
4,abc,10,1058,64,4,1058,189,5.6,2
4,abc,10,1058,64,4,1058,189,5.6,2
4,abc,10,1058,64,4,1058,189,5.6,2
4,abc,10,1058,64,4,1058,189,5.6,2
4,abc,10,1058,64,4,1058,189,5.6,2
4,abc,10,1058,64,4,1058,189,5.6,2
4,abc,10,1058,64,4,1058,189,5.6,2
4,abc,10,1058,64,4,1058,189,5.6,2
4,abc,10,1058,64,4,1058,189,5.6,2
4,leap,10,1058,64,5,1137,410,3.972,2
4,leap,10,1058,64,5,1137,410,4.843,2
4,leap,10,1058,64,5,1137,410,5.356,2
4,leap,10,1058,64,5,1137,410,3.703,2
4,leap,10,1058,64,5,1137,410,3.677,2
4,leap,10,1058,64,5,1137,410,4.308,2
4,leap,10,1058,64,5,1137,410,4.099,2
4,leap,10,1058,64,5,1137,410,4.134,2
4,leap,10,1058,64,5,1137,410,4.439,2
4,leap,10,1058,64,5,1137,410,4.626,2
5,abc,10,1026,32,6,1026,74,5.596,1
5,abc,10,1026,32,6,1026,74,5.596,1
5,abc,10,1026,32,6,1026,74,5.596,1
5,abc,10,1026,32,6,1026,74,5.596,1
5,abc,10,1026,32,6,1026,74,5.596,1
5,abc,10,1026,32,6,1026,74,5.596,1
5,abc,10,1026,32,6,1026,74,5.596,1
5,abc,10,1026,32,6,1026,74,5.596,1
5,abc,10,1026,32,6,1026,74,5.596,1
5,abc,10,1026,32,6,1026,74,5.596,1
5,leap,10,1026,32,6,1058,202,4.619,1
5,leap,10,1026,32,6,1058,202,4.102,1
5,leap,10,1026,32,6,1058,202,4.293,1
5,leap,10,1026,32,6,1058,202,3.973,1
5,leap,10,1026,32,6,1058,202,4.224,1
5,leap,10,1026,32,6,1058,202,4.624,1
5,leap,10,1026,32,6,1058,202,4.307,1
5,leap,10,1026,32,6,1058,202,4.097,1
5,leap,10,1026,32,6,1058,202,4.347,1
5,leap,10,1026,32,6,1058,202,4.431,1
6,abc,10,1026,32,6,1026,74,5.596,1
6,abc,10,1026,32,6,1026,74,5.596,1
6,abc,10,1026,32,6,1026,74,5.596,1
6,abc,10,1026,32,6,1026,74,5.596,1
6,abc,10,1026,32,6,1026,74,5.596,1
6,abc,10,1026,32,6,1026,74,5.596,1
6,abc,10,1026,32,6,1026,74,5.596,1
6,abc,10,1026,32,6,1026,74,5.596,1
6,abc,10,1026,32,6,1026,74,5.596,1
6,abc,10,1026,32,6,1026,74,5.596,1
6,leap,10,1026,32,6,1058,172,7.802,1
6,leap,10,1026,32,6,1058,172,5.366,1
6,leap,10,1026,32,6,1058,172,5.516,1
6,leap,10,1026,32,6,1058,172,5.291,1
6,leap,10,1026,32,6,1058,172,5.45,1
6,leap,10,1026,32,6,1058,172,5.366,1
6,leap,10,1026,32,6,1058,172,5.191,1
6,leap,10,1026,32,6,1058,172,5.171,1
6,leap,10,1026,32,6,1058,172,5.74,1
6,leap,10,1026,32,6,1058,172,5.374,1
7,abc,10,1026,32,6,1026,74,5.596,1
7,abc,10,1026,32,6,1026,74,5.596,1
7,abc,10,1026,32,6,1026,74,5.596,1
7,abc,10,1026,32,6,1026,74,5.596,1
7,abc,10,1026,32,6,1026,74,5.596,1
