clock_period,method,lev_before,node_before,lat_before,lev_after,node_after,lat_after,vpr_delay,latency
3,abc,13,2084,96,4,2100,482,4.746,3
3,abc,13,2084,96,4,2100,482,4.746,3
3,abc,13,2084,96,4,2100,482,4.746,3
3,abc,13,2084,96,4,2100,482,4.746,3
3,abc,13,2084,96,4,2100,482,4.746,3
3,abc,13,2084,96,4,2100,482,4.746,3
3,abc,13,2084,96,4,2100,482,4.746,3
3,abc,13,2084,96,4,2100,482,4.746,3
3,abc,13,2084,96,4,2100,482,4.746,3
3,abc,13,2084,96,4,2100,482,4.746,3
3,leap,13,2084,96,5,2284,1150,3.973,3
3,leap,13,2084,96,5,2284,1150,3.994,3
3,leap,13,2084,96,5,2284,1150,4.525,3
3,leap,13,2084,96,5,2284,1150,4.094,3
3,leap,13,2084,96,5,2284,1150,4.149,3
3,leap,13,2084,96,5,2284,1150,4.01,3
3,leap,13,2084,96,5,2284,1150,3.821,3
3,leap,13,2084,96,5,2284,1150,4.395,3
3,leap,13,2084,96,5,2284,1150,5.377,3
3,leap,13,2084,96,5,2284,1150,3.945,3
4,abc,13,2052,64,5,2060,309,4.245,2
4,abc,13,2052,64,5,2060,309,4.245,2
4,abc,13,2052,64,5,2060,309,4.245,2
4,abc,13,2052,64,5,2060,309,4.245,2
4,abc,13,2052,64,5,2060,309,4.245,2
4,abc,13,2052,64,5,2060,309,4.245,2
4,abc,13,2052,64,5,2060,309,4.245,2
4,abc,13,2052,64,5,2060,309,4.245,2
4,abc,13,2052,64,5,2060,309,4.245,2
4,abc,13,2052,64,5,2060,309,4.245,2
4,leap,13,2052,64,5,2143,707,3.934,2
4,leap,13,2052,64,5,2143,707,4.136,2
4,leap,13,2052,64,5,2143,707,4.041,2
4,leap,13,2052,64,5,2143,707,5.204,2
4,leap,13,2052,64,5,2143,707,4.039,2
4,leap,13,2052,64,5,2143,707,4.044,2
4,leap,13,2052,64,5,2143,707,4.288,2
4,leap,13,2052,64,5,2143,707,4.094,2
4,leap,13,2052,64,5,2143,707,3.944,2
4,leap,13,2052,64,5,2143,707,4.94,2
5,abc,13,2052,64,5,2060,309,4.245,2
