clock_period,method,lev_before,node_before,lat_before,lev_after,node_after,lat_after,vpr_delay,latency
14,abc,19,3909,128,12,1881,0,10.919,0
14,leap,19,3909,128,12,1881,0,11.135,0
14,leap,19,3909,128,12,1881,0,11.162,0
14,leap,19,3909,128,12,1881,0,10.904,0
13,abc,19,3909,128,7,1914,129,7.379,1
13,leap,19,3909,128,12,1881,0,10.182,0
13,leap,19,3909,128,12,1881,0,10.538,0
13,leap,19,3909,128,12,1881,0,10.585,0
12,abc,19,3909,128,7,1914,129,7.379,1
12,leap,19,3909,128,12,1881,0,11.138,0
12,leap,19,3909,128,12,1881,0,10.589,0
12,leap,19,3909,128,12,1881,0,10.397,0
11,abc,19,3909,128,7,1914,129,7.379,1
11,leap,19,3909,128,12,1881,0,10.167,0
11,leap,19,3909,128,12,1881,0,11.636,0
11,leap,19,3909,128,12,1881,0,11.538,0
10,abc,19,3909,128,7,1914,129,7.379,1
10,leap,19,3909,128,11,1887,96,10.22,1
10,leap,19,3909,128,11,1887,96,9.922,1
10,leap,19,3909,128,11,1887,96,10.691,1
9,abc,19,3909,128,7,1914,129,7.379,1
9,leap,19,3909,128,10,1887,98,7.728,1
9,leap,19,3909,128,10,1887,98,8.566,1
9,leap,19,3909,128,10,1887,98,8.741,1
8,abc,19,3909,128,7,1914,129,7.379,1
8,leap,19,3909,128,8,1887,120,7.354,1
8,leap,19,3909,128,8,1887,120,6.971,1
8,leap,19,3909,128,8,1887,120,6.693,1
7,abc,19,3909,128,7,1914,129,7.379,1
7,leap,19,3909,128,7,1887,151,6.412,1
7,leap,19,3909,128,7,1887,151,6.734,1
7,leap,19,3909,128,7,1887,151,6.138,1
6,abc,19,3909,128,5,1948,280,5.57,2
6,leap,19,3909,128,7,1887,248,6.157,1
6,leap,19,3909,128,7,1887,248,6.558,1
6,leap,19,3909,128,7,1887,248,5.935,1
5,abc,19,3909,128,5,1948,280,5.57,2
5,leap,19,3909,128,6,1913,435,5.078,2
5,leap,19,3909,128,6,1913,435,5.453,2
5,leap,19,3909,128,6,1913,435,6.638,2
4,abc,19,3909,128,4,1989,432,4.896,3
4,leap,19,3909,128,5,1927,567,4.567,2
4,leap,19,3909,128,5,1927,567,4.418,2
4,leap,19,3909,128,5,1927,567,4.083,2
3,abc,19,3909,128,4,2011,472,4.535,4
3,leap,19,3909,128,5,1999,891,4.225,3
3,leap,19,3909,128,5,1999,891,3.854,3
3,leap,19,3909,128,5,1999,891,4.116,3
